id,airport_code,city,driver_name,driver_rating,driver_trips,cab_type,vehicle_model,passenger_capacity,base_fare,price_per_km,estimated_wait_minutes,is_electric,is_shuttle
46,GBI,Kalaburagi (Gulbarga),Sunil Yadav,4.69,1110,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,7,0,0
47,TCR,Thoothukudi (Tuticorin),Mahesh Choudhary,4.64,981,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,12,0,0
48,MZS,Sonbhadra,Rohan Mehta,4.66,800,Executive Premium,Skoda Superb,4,1200,35,11,0,0
49,JLR,Jabalpur,Deepak Joshi,4.95,1977,Airport Express Shuttle,Force Traveller AC,12,180,8,11,0,1
50,ANK,Ankleshwar,Anil Deshmukh,4.46,1332,Hatchback (WagonR),Tata Tiago,4,250,12,8,0,0
51,TCR,Thoothukudi (Tuticorin),Harpreet Singh,4.85,1712,Hatchback (WagonR),Hyundai i10,4,250,12,14,0,0
52,CFH,Chitrakoot,Anil Deshmukh,4.97,1383,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,6,0,0
53,HSS,Hisar,Rajesh Sharma,4.61,983,Hatchback (WagonR),Hyundai i10,4,250,12,6,0,0
54,LUD,Ludhiana,Manoj Gupta,4.45,2090,Executive Premium,Mercedes C-Class,4,1200,35,5,0,0
55,JLG,Jalgaon,Santosh Kulkarni,4.87,888,Executive Premium,Skoda Superb,4,1200,35,6,0,0
56,PNV,Porbandar,Rajesh Sharma,4.83,1096,Executive Premium,Mercedes C-Class,4,1200,35,12,0,0
57,GWL,Gwalior,Sanjay Rao,4.7,1468,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,13,0,0
58,AMB,Ambikapur,Anil Deshmukh,4.69,1735,Hatchback (WagonR),Tata Tiago,4,250,12,12,0,0
59,BKN,Bikaner,Pankaj Das,4.53,1435,Executive Premium,Mercedes C-Class,4,1200,35,9,0,0
60,CCU,Kolkata,Sanjay Rao,4.69,418,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,8,0,0
61,IXL,Leh (Ladakh),Rahul Banerjee,4.44,529,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,11,0,0
62,JGD,Jagdalpur,Praveen Nair,4.95,1957,Executive Premium,Mercedes C-Class,4,1200,35,13,0,0
63,PGH,Pantnagar / Nainital,Harpreet Singh,4.43,2353,Executive Premium,Toyota Camry Hybrid,4,1200,35,14,0,0
64,HIR,Sambalpur,Rajesh Sharma,4.79,352,Executive Premium,Toyota Camry Hybrid,4,1200,35,9,0,0
65,JSA,Jaisalmer,Sanjay Rao,4.64,1616,Executive Premium,Skoda Superb,4,1200,35,13,0,0
66,DMU,Dimapur,Rajesh Sharma,4.42,1323,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,10,0,0
67,CFH,Chitrakoot,Amit Kumar,4.66,1727,Executive Premium,Toyota Camry Hybrid,4,1200,35,12,0,0
68,CKU,Chakulia,Dinesh Pillai,4.43,1555,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,11,0,0
69,IXT,Pasighat,Vijay Reddy,4.87,1194,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,7,0,0
70,GWL,Gwalior,Harpreet Singh,4.6,2153,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,4,0,0
71,KAM,Kamalpur,Praveen Nair,4.84,992,Executive Premium,Toyota Camry Hybrid,4,1200,35,10,0,0
72,WGC,Warangal,Sunil Yadav,4.49,1951,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,10,1,0
73,KARN,Karnal,Sanjay Rao,4.75,2252,Airport Express Shuttle,Force Traveller AC,12,180,8,5,0,1
74,IMF,Imphal,Vikram Singh,4.41,975,Airport Express Shuttle,Force Traveller AC,12,180,8,6,0,1
75,COK,Kochi,Sanjay Rao,4.71,1925,Executive Premium,Skoda Superb,4,1200,35,4,0,0
76,SDW,Sindhudurg,Rajesh Sharma,4.96,1315,Hatchback (WagonR),Hyundai i10,4,250,12,14,0,0
77,PUI,Purnea,Vijay Reddy,4.94,606,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,13,0,0
78,MUZ,Muzaffarpur,Gaurav Tiwari,4.87,1209,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,10,0,0
79,IXS,Silchar,Rajesh Sharma,4.93,1649,Hatchback (WagonR),Tata Tiago,4,250,12,13,0,0
80,HJR,Khajuraho,Sanjay Rao,4.46,895,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,5,0,0
81,AMR,Amravati,Rajesh Sharma,4.78,1580,Executive Premium,Toyota Camry Hybrid,4,1200,35,11,0,0
82,ALD,Aligarh,Vikram Singh,4.93,1268,Airport Express Shuttle,Tata Winger Executive,12,180,8,9,0,1
83,BDQ,Vadodara,Harpreet Singh,4.44,1307,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,7,1,0
84,IXZ,Port Blair (Andaman),Praveen Nair,4.75,2255,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,3,0,0
85,PNQ,Pune,Sunil Yadav,4.42,1981,Airport Express Shuttle,Tata Winger Executive,12,180,8,4,0,1
86,IXT,Pasighat,Suresh Patel,4.47,1494,Sedan (Dzire/Etios),Toyota Etios,4,350,14,13,0,0
87,BLR,Bengaluru,Santosh Kulkarni,4.75,1851,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,9,1,0
88,VJZ,Bhogapuram / Vizianagaram,Deepak Joshi,4.59,575,Airport Express Shuttle,Tata Winger Executive,12,180,8,4,0,1
89,ZER,Ziro,Pankaj Das,4.49,1420,Airport Express Shuttle,Force Traveller AC,12,180,8,3,0,1
90,HYD,Hyderabad,Sunil Yadav,4.52,552,Sedan (Dzire/Etios),Toyota Etios,4,350,14,5,0,0
91,BKN,Bikaner,Ramesh Verma,4.81,427,Hatchback (WagonR),Hyundai i10,4,250,12,11,0,0
92,DMO,Damoh,Mahesh Choudhary,4.61,1460,Airport Express Shuttle,Tata Winger Executive,12,180,8,4,0,1
93,SWM,Ranthambore / Sawai Madhopur,Vikram Singh,4.6,1477,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,6,0,0
94,MAL,Malda,Gaurav Tiwari,4.96,2206,Airport Express Shuttle,Force Traveller AC,12,180,8,12,0,1
95,AMRE,Amreli,Suresh Patel,4.49,884,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,6,1,0
96,JLR,Jabalpur,Rohan Mehta,4.62,902,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,14,0,0
97,LKO,Lucknow,Praveen Nair,4.71,141,Airport Express Shuttle,Tata Winger Executive,12,180,8,10,0,1
98,SNE,Singrauli,Rohan Mehta,4.7,1258,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,12,0,0
99,PUR,Purulia,Rajesh Sharma,4.72,1388,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,4,0,0
100,PNY,Puducherry,Vijay Reddy,4.91,926,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,6,1,0
101,BAR,Baramati,Mahesh Choudhary,4.63,1140,Hatchback (WagonR),Tata Tiago,4,250,12,13,0,0
102,ANK,Ankleshwar,Rajesh Sharma,4.73,1463,Hatchback (WagonR),Tata Tiago,4,250,12,12,0,0
103,AMH,Azamgarh,Harpreet Singh,4.86,1827,Executive Premium,Mercedes C-Class,4,1200,35,5,0,0
104,PUI,Purnea,Dinesh Pillai,4.9,1597,Airport Express Shuttle,Tata Winger Executive,12,180,8,6,0,1
105,JGD,Jagdalpur,Anil Deshmukh,4.97,2380,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,9,0,0
106,AJL,Aizawl,Rajesh Sharma,4.61,194,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,11,1,0
107,SIV,Sivasagar,Pankaj Das,4.49,1514,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,6,0,0
108,DMU,Dimapur,Rajesh Sharma,4.42,2295,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,9,0,0
109,CCJ,Kozhikode (Calicut),Harpreet Singh,4.9,1994,Executive Premium,Mercedes C-Class,4,1200,35,10,0,0
110,IXD,Prayagraj (Allahabad),Sunil Yadav,4.92,306,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,7,1,0
111,BTH,Bettiah,Vijay Reddy,4.96,574,Executive Premium,Mercedes C-Class,4,1200,35,3,0,0
112,CHI,Chhindwara,Vijay Reddy,4.79,1237,Executive Premium,Toyota Camry Hybrid,4,1200,35,7,0,0
113,KQH,Ajmer / Kishangarh,Vikram Singh,4.72,2161,Executive Premium,Toyota Camry Hybrid,4,1200,35,11,0,0
114,NMN,Neemrana / Alwar,Amit Kumar,4.82,1570,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,3,0,0
115,MAA,Chennai,Sunil Yadav,4.73,2200,Hatchback (WagonR),Hyundai i10,4,250,12,11,0,0
116,BAR,Baramati,Gaurav Tiwari,4.76,2210,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,11,1,0
117,MYQ,Mysuru,Rajesh Sharma,4.93,1899,Hatchback (WagonR),Tata Tiago,4,250,12,10,0,0
118,IXA,Agartala,Vijay Reddy,4.82,2103,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,3,0,0
119,KQH,Ajmer / Kishangarh,Mahesh Choudhary,4.44,259,Hatchback (WagonR),Hyundai i10,4,250,12,11,0,0
120,IXD,Prayagraj (Allahabad),Praveen Nair,4.84,1456,Hatchback (WagonR),Hyundai i10,4,250,12,11,0,0
121,MEH,Mehsana,Deepak Joshi,4.94,2376,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,6,1,0
122,PGH,Pantnagar / Nainital,Harpreet Singh,4.85,1217,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,8,1,0
123,IDR,Indore,Harpreet Singh,4.65,580,Airport Express Shuttle,Force Traveller AC,12,180,8,7,0,1
124,SNE,Singrauli,Sanjay Rao,4.49,2025,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,10,0,0
125,TEZU,Tezu,Ramesh Verma,4.61,798,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,6,0,0
126,JRG,Jharsuguda,Deepak Joshi,4.88,2214,Sedan (Dzire/Etios),Toyota Etios,4,350,14,5,0,0
127,KAR,Karad / Satara,Mahesh Choudhary,4.94,1703,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,5,0,0
128,BTH,Bettiah,Ramesh Verma,4.49,317,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,10,0,0
129,PUI,Purnea,Ramesh Verma,4.9,1604,Executive Premium,Mercedes C-Class,4,1200,35,3,0,0
130,UTK,Kalahandi / Utkela,Pankaj Das,4.84,1593,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,11,0,0
131,JGD,Jagdalpur,Manoj Gupta,4.6,1516,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,12,0,0
132,ISK,Nashik,Praveen Nair,4.73,370,Hatchback (WagonR),Hyundai i10,4,250,12,3,0,0
133,WGC,Warangal,Manoj Gupta,4.75,1708,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,4,1,0
134,JRG,Jharsuguda,Suresh Patel,4.94,1720,Hatchback (WagonR),Hyundai i10,4,250,12,14,0,0
135,PBN,Parbhani,Sunil Yadav,4.77,2203,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,9,0,0
136,DED,Dehradun,Anil Deshmukh,4.84,815,Hatchback (WagonR),Tata Tiago,4,250,12,3,0,0
137,JGD,Jagdalpur,Vikram Singh,4.64,1035,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,8,0,0
138,SAG,Shirdi,Mahesh Choudhary,4.57,1022,Executive Premium,Mercedes C-Class,4,1200,35,12,0,0
139,KHO,Khowai,Harpreet Singh,4.71,1308,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,11,0,0
140,IXS,Silchar,Rohan Mehta,4.46,89,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,9,0,0
141,DHR,Dibrugarh,Amit Kumar,4.66,2234,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,10,1,0
142,PAT,Patna,Pankaj Das,4.59,1537,Hatchback (WagonR),Tata Tiago,4,250,12,11,0,0
143,AGX,Agatti Island (Lakshadweep),Deepak Joshi,4.5,1297,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,13,1,0
144,VZY,Vijayawada,Rohan Mehta,4.42,1413,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,9,1,0
145,DMU,Dimapur,Santosh Kulkarni,4.45,164,Hatchback (WagonR),Tata Tiago,4,250,12,3,0,0
146,ASL,Asansol,Rajesh Sharma,4.68,288,Hatchback (WagonR),Tata Tiago,4,250,12,4,0,0
147,UTL,Barmer,Deepak Joshi,4.68,204,Executive Premium,Mercedes C-Class,4,1200,35,3,0,0
148,VTZ,Visakhapatnam,Sunil Yadav,4.92,1286,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,14,0,0
149,BAR,Baramati,Amit Kumar,4.58,1738,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,3,1,0
150,NWP,Pithoragarh,Mahesh Choudhary,4.77,1540,Executive Premium,Skoda Superb,4,1200,35,8,0,0
151,SXR,Srinagar,Pankaj Das,4.76,433,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,6,0,0
152,JHW,Jhalawar,Rajesh Sharma,4.68,1939,Sedan (Dzire/Etios),Toyota Etios,4,350,14,8,0,0
153,VJZ,Bhogapuram / Vizianagaram,Rohan Mehta,4.83,898,Hatchback (WagonR),Hyundai i10,4,250,12,3,0,0
154,RGD,Raigarh,Praveen Nair,4.86,2226,Airport Express Shuttle,Force Traveller AC,12,180,8,14,0,1
155,HSR,Rajkot,Vikram Singh,4.55,1645,Hatchback (WagonR),Hyundai i10,4,250,12,4,0,0
156,IXR,Ranchi,Anil Deshmukh,4.86,556,Airport Express Shuttle,Force Traveller AC,12,180,8,13,0,1
157,KUU,Kullu / Manali,Deepak Joshi,4.58,2330,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,7,1,0
158,IXB,Siliguri / Bagdogra,Vikram Singh,4.81,2055,Hatchback (WagonR),Tata Tiago,4,250,12,10,0,0
159,ASL,Asansol,Praveen Nair,4.56,1759,Executive Premium,Toyota Camry Hybrid,4,1200,35,8,0,0
160,PAL,Pali,Sanjay Rao,4.87,233,Executive Premium,Toyota Camry Hybrid,4,1200,35,7,0,0
161,MZS,Sonbhadra,Dinesh Pillai,4.61,1806,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,5,0,0
162,AGX,Agatti Island (Lakshadweep),Rohan Mehta,4.52,965,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,3,0,0
163,HYD,Hyderabad,Rahul Banerjee,4.98,1531,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,9,0,0
164,HIR,Sambalpur,Pankaj Das,4.78,994,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,8,0,0
165,NDC,Nanded,Harpreet Singh,4.59,2090,Airport Express Shuttle,Force Traveller AC,12,180,8,10,0,1
166,AGR,Agra,Sanjay Rao,4.64,2287,Airport Express Shuttle,Tata Winger Executive,12,180,8,14,0,1
167,JDH,Jodhpur,Amit Kumar,4.95,1846,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,13,1,0
168,HBX,Hubballi / Dharwad,Amit Kumar,4.86,889,Executive Premium,Skoda Superb,4,1200,35,10,0,0
169,CHI,Chhindwara,Vikram Singh,4.98,1830,Hatchback (WagonR),Tata Tiago,4,250,12,5,0,0
170,DHM,Dharamshala / Kangra,Vikram Singh,4.53,324,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,8,0,0
171,DMU,Dimapur,Manoj Gupta,4.82,91,Airport Express Shuttle,Tata Winger Executive,12,180,8,9,0,1
172,JLG,Jalgaon,Gaurav Tiwari,4.6,2247,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,13,0,0
173,AMD,Ahmedabad,Deepak Joshi,4.62,645,Hatchback (WagonR),Tata Tiago,4,250,12,11,0,0
174,GAY,Gaya,Praveen Nair,4.42,1084,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,10,0,0
175,ROU,Rourkela,Amit Kumar,4.46,1137,Airport Express Shuttle,Force Traveller AC,12,180,8,7,0,1
176,RMD,Ratnagiri,Vijay Reddy,4.78,812,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,3,1,0
177,KHO,Khowai,Manoj Gupta,4.93,1778,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,12,1,0
178,VTZ,Visakhapatnam,Manoj Gupta,4.47,264,Hatchback (WagonR),Hyundai i10,4,250,12,6,0,0
179,DMO,Damoh,Amit Kumar,4.77,180,Sedan (Dzire/Etios),Toyota Etios,4,350,14,13,0,0
180,SLN,Sultanpur,Gaurav Tiwari,4.64,2296,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,11,0,0
181,PAL,Pali,Santosh Kulkarni,4.69,91,Sedan (Dzire/Etios),Toyota Etios,4,350,14,10,0,0
182,BHJ,Bhuj (Kutch),Suresh Patel,4.86,103,Airport Express Shuttle,Force Traveller AC,12,180,8,10,0,1
183,CCJ,Kozhikode (Calicut),Gaurav Tiwari,4.76,773,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,5,1,0
184,NWP,Pithoragarh,Sunil Yadav,4.49,1683,Airport Express Shuttle,Tata Winger Executive,12,180,8,12,0,1
185,SLV,Shimla,Manoj Gupta,4.5,1721,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,13,0,0
186,BHO,Bhopal,Dinesh Pillai,4.97,425,Hatchback (WagonR),Tata Tiago,4,250,12,3,0,0
187,SIV,Sivasagar,Harpreet Singh,4.88,2037,Sedan (Dzire/Etios),Toyota Etios,4,350,14,4,0,0
188,BLT,Balurghat,Vijay Reddy,4.98,911,Hatchback (WagonR),Tata Tiago,4,250,12,13,0,0
189,UTK,Kalahandi / Utkela,Manoj Gupta,4.68,1588,Airport Express Shuttle,Tata Winger Executive,12,180,8,7,0,1
190,RKG,Durgapur,Sunil Yadav,4.88,423,Hatchback (WagonR),Hyundai i10,4,250,12,12,0,0
191,MAL,Malda,Deepak Joshi,4.83,1687,Executive Premium,Toyota Camry Hybrid,4,1200,35,12,0,0
192,IXA,Agartala,Mahesh Choudhary,4.64,1860,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,10,0,0
193,JRG,Jharsuguda,Rajesh Sharma,4.69,1077,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,5,0,0
194,PAT,Patna,Pankaj Das,4.83,1681,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,3,0,0
195,NVY,Neyveli,Pankaj Das,4.7,1730,Airport Express Shuttle,Force Traveller AC,12,180,8,7,0,1
196,KARN,Karnal,Manoj Gupta,4.88,788,Airport Express Shuttle,Tata Winger Executive,12,180,8,5,0,1
197,ATQ,Amritsar,Deepak Joshi,4.82,1607,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,5,0,0
198,JRG,Jharsuguda,Harpreet Singh,4.81,1693,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,6,1,0
199,MRA,Noida / Jewar,Santosh Kulkarni,4.62,909,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,12,1,0
200,PNY,Puducherry,Vijay Reddy,4.87,108,Executive Premium,Toyota Camry Hybrid,4,1200,35,10,0,0
201,GON,Gondia,Amit Kumar,4.86,1705,Hatchback (WagonR),Tata Tiago,4,250,12,7,0,0
202,MRA,Noida / Jewar,Gaurav Tiwari,4.84,1643,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,8,0,0
203,HJR,Khajuraho,Rohan Mehta,4.56,1944,Hatchback (WagonR),Tata Tiago,4,250,12,6,0,0
204,ALD,Aligarh,Harpreet Singh,4.8,1804,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,13,0,0
205,IXG,Belagavi,Amit Kumar,4.49,94,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,12,0,0
206,DBR,Darbhanga,Ramesh Verma,4.53,1745,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,6,0,0
207,TRV,Thiruvananthapuram,Mahesh Choudhary,4.93,906,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,14,1,0
208,AGR,Agra,Gaurav Tiwari,4.73,221,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,12,0,0
209,AJL,Aizawl,Vijay Reddy,4.66,161,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,6,0,0
210,NMS,Naliya,Gaurav Tiwari,4.68,1116,Executive Premium,Mercedes C-Class,4,1200,35,7,0,0
211,CKU,Chakulia,Amit Kumar,4.74,391,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,5,0,0
212,PAL,Pali,Praveen Nair,4.98,427,Executive Premium,Mercedes C-Class,4,1200,35,11,0,0
213,PYB,Jeypore,Ramesh Verma,4.49,1201,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,8,1,0
214,HBI,Itanagar,Harpreet Singh,4.76,2124,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,10,0,0
215,DGR,Deoghar,Anil Deshmukh,4.66,1655,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,13,1,0
216,NVM,Navi Mumbai,Amit Kumar,4.62,386,Airport Express Shuttle,Tata Winger Executive,12,180,8,12,0,1
217,RMD,Ratnagiri,Mahesh Choudhary,4.89,294,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,14,0,0
